"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase"
"3064","F","26-35","7","B","4+","0",2248010
"5847","M","46-50","16","C","4+","1",1884662
"4356","M","26-35","7","C","1","1",775686
"442","M","36-45","17","C","0","0",647765
"3253","M","18-25","4","C","4+","0",467933
"471","F","26-35","0","A","1","0",679980
"1933","M","26-35","17","B","2","0",1652994
"2584","M","26-35","20","B","3","0",1363517
"3449","M","51-55","6","A","0","1",171563
"4846","M","26-35","20","B","2","1",910987
"3003","F","18-25","1","B","4+","0",901348
"3076","M","46-50","7","B","4+","0",1874445
"1805","F","46-50","2","B","2","0",917847
"3384","M","36-45","17","C","4+","0",461932
"4816","M","26-35","14","B","2","1",1198371
"3158","F","26-35","0","C","4+","0",354751
"220","M","18-25","0","C","0","0",139334
"4807","M","55+","13","B","2","1",248743
"4422","F","46-50","9","C","1","1",518430
"1412","M","18-25","11","C","1","0",291237
"4581","F","26-35","17","C","1","1",219944
"14","F","36-45","1","A","0","0",461106
"959","M","18-25","14","B","1","0",364448
"2268","M","36-45","17","C","2","0",472051
"3236","F","18-25","4","C","4+","0",271932
"2829","M","26-35","17","C","3","0",844698
"2199","M","26-35","12","C","2","0",396358
"3623","M","18-25","4","C","0","1",357828
"109","M","26-35","1","B","0","0",926085
"2054","M","18-25","4","C","2","0",553760
"5296","M","55+","17","B","3","1",143104
"4773","M","36-45","7","B","2","1",1356099
"4275","M","18-25","4","C","1","1",142846
"710","M","26-35","0","B","1","0",2921034
"5095","M","51-55","17","C","2","1",438703
"5189","M","26-35","0","B","3","1",2457514
"3514","M","26-35","5","B","0","1",551853
"2684","M","26-35","4","C","3","0",282501
"331","F","36-45","6","C","0","0",121848
"1647","F","36-45","0","A","2","0",596211
"3825","M","26-35","12","A","1","1",683288
"1993","F","26-35","1","C","2","0",730294
"3818","M","55+","7","A","1","1",263141
"164","M","36-45","11","B","0","0",2252051
"4428","F","18-25","10","C","1","1",260052
"1334","M","36-45","7","C","1","0",177156
"5817","F","55+","13","C","4+","1",147526
"505","M","0-17","2","A","1","0",430965
"4879","F","26-35","1","C","2","1",516560
"1107","F","46-50","0","C","1","0",430535
"2656","F","18-25","4","C","3","0",96140
"1277","F","26-35","6","C","1","0",300592
"2547","F","26-35","14","B","3","0",77648
"3883","F","26-35","0","B","1","1",2831762
"312","M","26-35","4","C","0","0",124883
"1221","M","18-25","4","C","1","0",520473
"5583","M","26-35","0","B","4+","1",3723189
"1386","M","0-17","10","C","1","0",863523
"4420","F","36-45","9","C","1","1",466015
"5246","M","51-55","7","B","3","1",503153
"247","M","18-25","1","C","0","0",209491
"5098","M","26-35","18","C","2","1",819675
"2770","M","18-25","12","C","3","0",609682
"5418","M","51-55","7","C","3","1",1120140
"5488","M","36-45","16","C","3","1",1713644
"3196","F","46-50","1","C","4+","0",1075037
"5052","M","46-50","15","C","2","1",285338
"1543","M","55+","16","C","1","0",1681036
"3242","M","18-25","4","C","4+","0",542123
"4832","M","18-25","17","B","2","1",419133
"5637","M","26-35","12","B","4+","1",717817
"1271","M","36-45","5","C","1","0",1446089
"1873","M","36-45","7","B","2","0",303760
"3016","M","18-25","2","B","4+","0",102127
"3254","M","18-25","4","C","4+","0",274015
"685","M","18-25","0","B","1","0",550655
"3620","F","18-25","4","C","0","1",344678
"2425","F","26-35","0","B","3","0",424138
"4383","F","46-50","7","C","1","1",222816
"433","M","26-35","17","C","0","0",856486
"5329","M","26-35","1","C","3","1",151362
"1068","M","26-35","0","C","1","0",303318
"2123","M","26-35","7","C","2","0",1549283
"2731","M","36-45","7","C","3","0",663507
"2905","M","26-35","2","A","4+","0",552089
"4035","M","26-35","12","B","1","1",116011
"4685","M","26-35","15","A","2","1",2182146
"5338","M","46-50","1","C","3","1",713927
"1008","M","36-45","17","B","1","0",1234430
"2318","M","26-35","1","A","3","0",2180228
"989","M","18-25","17","B","1","0",1454698
"506","F","18-25","2","A","1","0",1501681
"675","M","26-35","20","A","1","0",138260
"3100","F","26-35","14","B","4+","0",960857
"596","M","36-45","8","A","1","0",265011
"2743","M","51-55","7","C","3","0",144108
"957","M","55+","13","B","1","0",194902
"4695","M","36-45","20","A","2","1",611650
"3234","F","18-25","4","C","4+","0",485200
"3297","M","36-45","7","C","4+","0",1350344
"3817","M","55+","7","A","1","1",87549
"5130","M","26-35","1","A","3","1",152258
"213","M","36-45","20","B","0","0",165449
"147","M","51-55","5","B","0","0",323257
"5101","M","26-35","18","C","2","1",1316414
"935","M","26-35","12","B","1","0",237334
"4586","M","26-35","17","C","1","1",2456078
"3085","M","26-35","11","B","4+","0",2825947
"3403","M","51-55","18","C","4+","0",386176
"4401","M","51-55","7","C","1","1",287587
"1089","F","36-45","0","C","1","0",188381
"2564","M","36-45","16","B","3","0",4350379
"880","M","36-45","7","B","1","0",126260
"5113","F","36-45","20","C","2","1",587881
"1098","M","36-45","0","C","1","0",816351
"4041","M","36-45","12","B","1","1",1319020
"5751","M","26-35","6","C","4+","1",540219
"3691","M","26-35","16","C","0","1",1310749
"5209","F","46-50","1","B","3","1",2098580
"2502","M","26-35","6","B","3","0",259326
"4671","F","26-35","11","A","2","1",292090
"4722","F","46-50","1","B","2","1",133304
"1243","M","18-25","4","C","1","0",289470
"888","M","51-55","7","B","1","0",502233
"4996","M","55+","7","C","2","1",224034
"4468","M","51-55","12","C","1","1",293326
"4221","M","55+","1","C","1","1",1246368
"4127","M","51-55","20","B","1","1",780674
"3566","M","26-35","0","C","0","1",263324
"140","F","26-35","4","B","0","0",1149866
"402","M","55+","13","C","0","0",952395
"1033","F","36-45","20","B","1","0",271783
"5666","M","51-55","17","B","4+","1",271865
"939","M","26-35","12","B","1","0",1308109
"4268","F","18-25","4","C","1","1",305061
"1924","M","51-55","16","B","2","0",1004446
"424","M","18-25","17","C","0","0",179682
"5544","M","26-35","4","A","4+","1",1976371
"153","F","36-45","7","B","0","0",936208
"2460","F","26-35","2","B","3","0",395208
"3275","M","18-25","7","C","4+","0",1032480
"948","M","36-45","12","B","1","0",166121
"3889","M","26-35","0","B","1","1",3543670
"1465","F","55+","13","C","1","0",1183272
"2929","M","18-25","4","A","4+","0",259682
"3110","M","36-45","16","B","4+","0",2915392
"4794","M","26-35","12","B","2","1",1272726
"3033","M","18-25","4","B","4+","0",2709351
"2242","M","26-35","16","C","2","0",762896
"1545","F","18-25","17","C","1","0",692776
"4521","M","36-45","14","C","1","1",215286
"4503","M","26-35","14","C","1","1",623700
"3270","M","26-35","6","C","4+","0",469934
"2659","M","18-25","4","C","3","0",331944
"3534","M","55+","7","B","0","1",300739
"1266","M","26-35","5","C","1","0",277502
"5220","M","18-25","4","B","3","1",492254
"5124","M","26-35","0","A","3","1",1692542
"1990","M","18-25","1","C","2","0",606618
"2692","M","26-35","5","C","3","0",338490
"476","M","26-35","0","A","1","0",3770941
"3194","M","36-45","1","C","4+","0",130909
"5663","M","18-25","17","B","4+","1",640362
"5795","M","36-45","11","C","4+","1",1165817
"4320","M","26-35","6","C","1","1",445049
"3702","M","26-35","17","C","0","1",297718
"1958","M","18-25","0","C","2","0",183360
"1542","F","51-55","16","C","1","0",72958
"608","M","26-35","11","A","1","0",2274925
"5008","M","18-25","10","C","2","1",1238491
"5337","F","46-50","1","C","3","1",159463
"5546","M","36-45","5","A","4+","1",109256
"2996","M","26-35","0","B","4+","0",3030989
"3137","F","36-45","20","B","4+","0",607552
"2363","F","26-35","7","A","3","0",328841
"1744","M","18-25","17","A","2","0",2316798
"2315","F","26-35","1","A","3","0",4178546
"848","M","26-35","6","B","1","0",1221947
"4804","F","51-55","13","B","2","1",149101
"697","F","26-35","0","B","1","0",2119678
"2918","M","18-25","4","A","4+","0",1428265
"3906","M","18-25","1","B","1","1",451357
"5685","M","26-35","0","C","4+","1",745203
"5848","M","46-50","16","C","4+","1",420736
"41","F","26-35","4","A","0","0",1001505
"1166","F","26-35","2","C","1","0",529819
"4701","M","26-35","0","B","2","1",215026
"736","M","36-45","1","B","1","0",1287087
"4251","F","36-45","3","C","1","1",1585067
"273","M","26-35","2","C","0","0",213990
"706","M","26-35","0","B","1","0",3140413
"5424","M","55+","7","C","3","1",115199
"3459","M","51-55","12","A","0","1",1060499
"5737","F","18-25","4","C","4+","1",168316
"4955","M","51-55","6","C","2","1",273438
"3631","F","36-45","6","C","0","1",624355
"2281","M","46-50","18","C","2","0",133770
"5372","M","18-25","4","C","3","1",1011667
"219","M","0-17","0","C","0","0",2001885
"4876","F","18-25","1","C","2","1",704642
"1000","M","26-35","17","B","1","0",70973
"806","M","18-25","4","B","1","0",701411
"1764","M","0-17","0","B","2","0",3343547
"1139","F","36-45","1","C","1","0",309523
"128","F","18-25","4","B","0","0",2937258
"4188","F","36-45","1","C","1","1",177886
"5280","M","46-50","16","B","3","1",269591
"3353","F","26-35","14","C","4+","0",133293
"3375","M","26-35","17","C","4+","0",1004025
"1027","M","26-35","20","B","1","0",2815284
"4588","M","26-35","17","C","1","1",423681
"1530","F","36-45","16","C","1","0",2099597
"5705","F","26-35","1","C","4+","1",408016
"1738","M","26-35","14","A","2","0",2288889
"3140","M","36-45","20","B","4+","0",1568562
"2038","F","18-25","4","C","2","0",137224
"99","M","26-35","0","B","0","0",1438051
"3928","F","51-55","1","B","1","1",915813
"122","F","36-45","3","B","0","0",770980
"2681","F","26-35","4","C","3","0",280652
"4877","M","18-25","1","C","2","1",253385
"5132","F","36-45","1","A","3","1",4246978
"2473","F","26-35","3","B","3","0",439296
"1081","M","26-35","0","C","1","0",832194
"3800","F","36-45","6","A","1","1",962820
"817","F","26-35","4","B","1","0",1903518
"5623","F","36-45","7","B","4+","1",119485
"1478","M","55+","13","C","1","0",81201
"3247","M","18-25","4","C","4+","0",536567
"1418","M","55+","11","C","1","0",69439
"1627","M","26-35","20","C","1","0",800846
"1073","M","26-35","0","C","1","0",1323224
"2367","M","36-45","7","A","3","0",912814
"5472","M","51-55","14","C","3","1",253533
"525","F","18-25","4","A","1","0",544023
"2223","M","26-35","14","C","2","0",322187
"4580","F","26-35","17","C","1","1",768351
"2753","F","0-17","10","C","3","0",104708
"5503","M","36-45","17","C","3","1",884599
"1730","M","26-35","12","A","2","0",1493977
"1785","F","18-25","1","B","2","0",544772
"3953","F","51-55","3","B","1","1",290842
"4405","M","51-55","7","C","1","1",366757
"3835","M","55+","13","A","1","1",130347
"2708","M","0-17","7","C","3","0",1085431
"2633","M","55+","1","C","3","0",940911
"4964","M","26-35","7","C","2","1",1187018
"4933","M","18-25","4","C","2","1",279839
"946","M","36-45","12","B","1","0",406830
"4908","F","18-25","2","C","2","1",453470
"2353","M","26-35","4","A","3","0",1586728
"38","F","26-35","4","A","0","0",175433
"2846","M","36-45","17","C","3","0",213550
"520","F","51-55","3","A","1","0",195099
"2030","F","26-35","3","C","2","0",263293
"3280","M","26-35","7","C","4+","0",573662
"4239","F","55+","2","C","1","1",803459
"3880","M","51-55","20","A","1","1",284125
"3725","M","18-25","0","A","1","1",1890167
"1621","F","26-35","20","C","1","0",148044
"1302","M","26-35","7","C","1","0",366462
"2639","F","36-45","2","C","3","0",1309814
"175","M","36-45","12","B","0","0",2654016
"2328","M","26-35","2","A","3","0",2277249
"1984","M","46-50","0","C","2","0",178301
"3553","M","36-45","17","B","0","1",292239
"2765","M","18-25","10","C","3","0",99694
"2810","M","36-45","15","C","3","0",1594015
"3406","M","18-25","19","C","4+","0",788657
"127","F","18-25","4","B","0","0",1635171
"316","M","26-35","4","C","0","0",182058
"1837","M","18-25","4","B","2","0",2417147
"4168","M","51-55","0","C","1","1",145780
"4294","F","26-35","4","C","1","1",144436
"70","M","26-35","12","A","0","0",603834
"5721","M","51-55","1","C","4+","1",187201
"2640","M","36-45","2","C","3","0",785501
"2245","F","36-45","16","C","2","0",272254
"5313","M","26-35","0","C","3","1",544614
"62","F","26-35","11","A","0","0",280523
"5507","M","51-55","17","C","3","1",1849338
"3399","M","36-45","18","C","4+","0",919271
"3438","M","26-35","2","A","0","1",2180773
"3639","M","26-35","7","C","0","1",783543
"1021","M","18-25","20","B","1","0",223728
"3386","M","36-45","17","C","4+","0",113747
"1468","M","55+","13","C","1","0",555750
"982","M","26-35","16","B","1","0",4016045
"3496","F","26-35","2","B","0","1",178274
"2364","M","26-35","7","A","3","0",152537
"5276","F","26-35","16","B","3","1",520919
"4026","M","26-35","11","B","1","1",159980
"3972","M","18-25","4","B","1","1",1686950
"5774","F","46-50","7","C","4+","1",689059
"2035","F","36-45","3","C","2","0",1282826
"3536","F","36-45","9","B","0","1",1805226
"4812","M","26-35","14","B","2","1",855566
"2409","M","36-45","17","A","3","0",1667979
"5317","F","36-45","0","C","3","1",434019
"2362","F","26-35","7","A","3","0",193351
"325","F","26-35","6","C","0","0",134631
"4886","F","36-45","1","C","2","1",238229
"420","M","36-45","16","C","0","0",311350
"3640","M","26-35","7","C","0","1",207237
"1220","M","18-25","4","C","1","0",119720
"1692","M","18-25","4","A","2","0",580248
"4078","M","18-25","17","B","1","1",235693
"5140","M","46-50","2","A","3","1",186610
"5099","M","26-35","18","C","2","1",401191
"2052","F","18-25","4","C","2","0",414876
"3542","M","51-55","13","B","0","1",272130
"2297","M","36-45","20","C","2","0",250158
"580","M","26-35","7","A","1","0",877770
"2964","M","26-35","14","A","4+","0",287340
"75","M","26-35","15","A","0","0",577709
"2740","M","36-45","7","C","3","0",1270433
"2386","M","36-45","12","A","3","0",602801
"1856","F","26-35","6","B","2","0",186283
"4009","M","36-45","7","B","1","1",1737991
"347","M","36-45","7","C","0","0",103716
"457","M","0-17","19","C","0","0",633162
"4615","M","26-35","18","C","1","1",1705205
"4518","F","36-45","14","C","1","1",1111560
"4921","M","18-25","3","C","2","1",608298
"4702","M","26-35","0","B","2","1",884315
"5855","M","18-25","17","C","4+","1",266068
"2618","F","26-35","1","C","3","0",256605
"5545","M","26-35","4","A","4+","1",815614
"1678","F","18-25","4","A","2","0",1799831
"1940","M","36-45","17","B","2","0",1392222
"4682","M","55+","13","A","2","1",287847
"253","M","26-35","1","C","0","0",845450
"3207","M","18-25","2","C","4+","0",360196
"5600","M","26-35","3","B","4+","1",2003034
"2254","M","18-25","17","C","2","0",1084886
"3389","M","36-45","17","C","4+","0",597829
"2385","M","26-35","12","A","3","0",1616722
"5405","M","36-45","7","C","3","1",210912
"387","M","18-25","12","C","0","0",225796
"5380","M","36-45","5","C","3","1",206046
"4370","M","36-45","7","C","1","1",1608993
"4697","M","18-25","0","B","2","1",1639400
"5570","M","46-50","17","A","4+","1",812530
"4938","M","26-35","4","C","2","1",1089416
"1026","M","26-35","20","B","1","0",304636
"4315","M","26-35","6","C","1","1",659824
"2378","M","46-50","11","A","3","0",712435
"4953","M","46-50","6","C","2","1",1362687
"2046","F","18-25","4","C","2","0",131656
"3836","M","55+","13","A","1","1",96230
"2915","F","18-25","4","A","4+","0",523301
"3278","F","26-35","7","C","4+","0",1477114
"5406","M","36-45","7","C","3","1",220000
"5577","M","36-45","20","A","4+","1",763580
"4097","M","46-50","17","B","1","1",663707
"5744","M","26-35","4","C","4+","1",247982
"3407","M","18-25","19","C","4+","0",1451373
"4837","F","46-50","17","B","2","1",372588
"1367","F","0-17","10","C","1","0",506413
"5689","M","26-35","0","C","4+","1",1057430
"725","F","26-35","1","B","1","0",3339265
"3532","M","46-50","7","B","0","1",1957600
"3869","M","26-35","18","A","1","1",1498136
"4508","M","26-35","14","C","1","1",609106
"1211","M","18-25","4","C","1","0",797147
"1752","F","26-35","18","A","2","0",132451
"4372","M","36-45","7","C","1","1",211971
"2013","F","55+","1","C","2","0",398912
"4464","M","46-50","12","C","1","1",792825
"1898","M","26-35","12","B","2","0",2102630
"59","F","0-17","10","A","0","0",112864
"4295","M","26-35","4","C","1","1",2445529
"2034","M","26-35","3","C","2","0",508463
"2607","M","46-50","0","C","3","0",128974
"632","F","26-35","14","A","1","0",218854
"5619","M","26-35","7","B","4+","1",1789852
"2299","M","18-25","0","A","3","0",751094
"399","M","36-45","13","C","0","0",1062978
"2769","M","18-25","12","C","3","0",772191
"1893","M","18-25","12","B","2","0",92526
"4186","M","26-35","1","C","1","1",372144
"5758","F","55+","6","C","4+","1",81745
"4900","M","46-50","1","C","2","1",822078
"5252","M","26-35","11","B","3","1",169138
"5079","M","26-35","17","C","2","1",1449360
"4999","M","55+","7","C","2","1",1125799
"548","M","26-35","4","A","1","0",447158
"3982","F","26-35","6","B","1","1",3135460
"1494","M","26-35","14","C","1","0",553155
"1293","F","26-35","7","C","1","0",96405
"639","M","26-35","14","A","1","0",250939
"4359","M","26-35","7","C","1","1",150944
"1453","F","46-50","12","C","1","0",73492
"4691","M","26-35","17","A","2","1",526268
"799","M","18-25","4","B","1","0",2004517
"2481","F","18-25","4","B","3","0",510973
"5804","M","36-45","12","C","4+","1",433018
"3190","M","36-45","1","C","4+","0",347563
"907","M","0-17","10","B","1","0",1173447
"485","M","51-55","0","A","1","0",179133
"3767","F","36-45","2","A","1","1",619357
"3434","M","26-35","1","A","0","1",2471040
"4558","M","36-45","16","C","1","1",613928
"1437","M","26-35","12","C","1","0",830242
"1232","M","18-25","4","C","1","0",1504347
"4350","M","26-35","7","C","1","1",202311
"4129","M","55+","20","B","1","1",1206864
"4664","M","26-35","4","A","2","1",2899640
"2344","M","18-25","4","A","3","0",2585939
"1436","M","26-35","12","C","1","0",134219
"2565","M","36-45","16","B","3","0",2129621
"3466","M","26-35","17","A","0","1",155489
"2880","F","26-35","0","A","4+","0",994841
"1604","M","26-35","18","C","1","0",1655986
"5366","F","18-25","4","C","3","1",1407104
"4092","M","46-50","17","B","1","1",943918
"4189","F","36-45","1","C","1","1",183118
"320","F","51-55","4","C","0","0",745022
"4192","M","36-45","1","C","1","1",420103
"785","M","18-25","4","B","1","0",291285
"2174","M","0-17","10","C","2","0",158295
"4171","M","51-55","0","C","1","1",1100041
"5651","M","36-45","14","B","4+","1",827063
"778","F","18-25","4","B","1","0",922341
"5455","M","55+","13","C","3","1",800846
"2895","F","26-35","1","A","4+","0",89764
"2301","M","18-25","0","A","3","0",338731
"4481","F","55+","13","C","1","1",98041
"3662","F","26-35","9","C","0","1",316709
"5218","F","36-45","3","B","3","1",1370383
"4827","M","36-45","16","B","2","1",156687
"572","M","26-35","7","A","1","0",1521263
"1481","F","18-25","14","C","1","0",1575600
"658","M","26-35","17","A","1","0",529089
"1218","M","18-25","4","C","1","0",141315
"3996","F","26-35","7","B","1","1",194185
"4071","M","51-55","15","B","1","1",263968
"950","M","36-45","12","B","1","0",1366453
"958","M","0-17","14","B","1","0",899524
"382","M","46-50","11","C","0","0",598362
"3307","F","26-35","9","C","4+","0",129717
"34","M","18-25","4","A","0","0",594577
"1345","M","46-50","7","C","1","0",339443
"5378","F","26-35","5","C","3","1",226534
"5377","F","51-55","4","C","3","1",148243
"2761","M","0-17","10","C","3","0",794837
"595","M","26-35","8","A","1","0",252794
"3596","M","36-45","1","C","0","1",1405962
"1788","F","26-35","1","B","2","0",2881474
"3112","M","51-55","16","B","4+","0",421730
"3744","M","18-25","1","A","1","1",210948
"5198","M","36-45","0","B","3","1",1424971
"268","M","18-25","2","C","0","0",72045
"2833","M","26-35","17","C","3","0",759007
"337","M","26-35","7","C","0","0",384034
"200","M","36-45","17","B","0","0",696087
"5511","M","26-35","18","C","3","1",457041
"4830","M","55+","16","B","2","1",2096679
"4469","M","51-55","12","C","1","1",370751
"3541","M","36-45","12","B","0","1",460490
"4152","M","26-35","0","C","1","1",828371
"1711","M","26-35","7","A","2","0",301086
"3268","F","26-35","6","C","4+","0",613353
"5792","F","26-35","11","C","4+","1",208839
"489","M","18-25","1","A","1","0",669955
"1314","F","36-45","7","C","1","0",184097
"3028","M","18-25","4","B","4+","0",1094887
"4500","F","26-35","14","C","1","1",259798
"4892","M","36-45","1","C","2","1",634496
"2797","M","26-35","14","C","3","0",233557
"4583","M","26-35","17","C","1","1",320089
"4005","M","26-35","7","B","1","1",503008
"3394","M","51-55","17","C","4+","0",267776
"782","F","18-25","4","B","1","0",911965
"5460","F","18-25","14","C","3","1",276955
"3646","M","26-35","7","C","0","1",970073
"1097","M","36-45","0","C","1","0",198727
"4007","M","36-45","7","B","1","1",2066219
"3658","M","51-55","7","C","0","1",985891
"915","M","0-17","10","B","1","0",612202
"3722","M","55+","20","C","0","1",142643
"3688","M","55+","14","C","0","1",465424
"2102","M","18-25","6","C","2","0",492235
"2426","F","26-35","0","B","3","0",261784
"3165","M","26-35","0","C","4+","0",153221
"1188","F","55+","3","C","1","0",405055
"4157","M","36-45","0","C","1","1",632947
"3219","M","46-50","2","C","4+","0",1026759
"3295","M","36-45","7","C","4+","0",338943
"4454","M","26-35","12","C","1","1",664252
"2948","M","26-35","7","A","4+","0",857219
"3612","F","46-50","2","C","0","1",189638
"2985","M","26-35","20","A","4+","0",2503980
"3911","M","26-35","1","B","1","1",1560851
"3025","F","18-25","4","B","4+","0",1659146
"1323","M","36-45","7","C","1","0",187392
"2741","M","46-50","7","C","3","0",916273
"5859","M","26-35","17","C","4+","1",117304
"1210","M","18-25","4","C","1","0",1975959
"2767","M","36-45","11","C","3","0",310200
"5754","M","46-50","6","C","4+","1",208263
"3504","M","18-25","4","B","0","1",2051006
"2146","F","46-50","7","C","2","0",330239
"4354","M","26-35","7","C","1","1",442196
"4610","M","51-55","17","C","1","1",141523
"5271","M","51-55","14","B","3","1",731202
"3383","M","26-35","17","C","4+","0",242077
"1910","F","36-45","14","B","2","0",101069
"3604","F","51-55","1","C","0","1",162121
"55","M","36-45","7","A","0","0",661857
"2194","M","18-25","12","C","2","0",108483
"1392","M","0-17","10","C","1","0",168473
"5607","M","18-25","4","B","4+","1",4865142
"1674","M","26-35","3","A","2","0",2073465
"4828","M","36-45","16","B","2","1",3291804
"1083","M","26-35","0","C","1","0",102863
"2287","M","18-25","19","C","2","0",130258
"1950","F","46-50","20","B","2","0",434655
"3310","F","36-45","9","C","4+","0",232557
"4297","M","26-35","4","C","1","1",1901363
"655","F","26-35","17","A","1","0",104481
"893","M","18-25","9","B","1","0",333598
"1288","M","51-55","6","C","1","0",163089
"4147","M","26-35","0","C","1","1",136549
"963","M","26-35","14","B","1","0",1563998
"4393","M","46-50","7","C","1","1",326019
"5111","M","26-35","20","C","2","1",551849
"5609","M","26-35","4","B","4+","1",1179007
"5043","F","46-50","14","C","2","1",447076
"1338","F","46-50","7","C","1","0",1566512
"599","F","0-17","10","A","1","0",499914
"2912","M","26-35","3","A","4+","0",555494
"615","M","18-25","12","A","1","0",355547
"2828","M","26-35","17","C","3","0",235729
"2280","M","36-45","18","C","2","0",117871
"3616","F","51-55","3","C","0","1",364309
"937","M","26-35","12","B","1","0",210442
"4034","M","26-35","12","B","1","1",1253614
"643","M","51-55","14","A","1","0",2283225
"4217","M","51-55","1","C","1","1",173424
"351","M","36-45","7","C","0","0",107337
"1198","F","18-25","4","C","1","0",450215
"626","M","26-35","12","A","1","0",1993182
"1872","M","36-45","7","B","2","0",55900
"1279","M","26-35","6","C","1","0",122582
"1596","F","46-50","17","C","1","0",1472117
"920","M","26-35","11","B","1","0",230163
"1040","F","0-17","0","C","1","0",465550
"1567","M","26-35","17","C","1","0",182061
"1489","M","26-35","14","C","1","0",249231
"4662","M","26-35","4","A","2","1",122308
"4016","F","55+","7","B","1","1",1664034
"5379","M","26-35","5","C","3","1",1437863
"1350","M","51-55","7","C","1","0",1841142
"4442","M","46-50","11","C","1","1",149053
"4582","M","26-35","17","C","1","1",234047
"1797","F","51-55","1","B","2","0",998484
"5722","M","51-55","1","C","4+","1",124069
"3395","M","18-25","18","C","4+","0",106353
"4215","M","51-55","1","C","1","1",548637
"1943","M","18-25","20","B","2","0",1898736
"4833","M","18-25","17","B","2","1",299154
"92","M","18-25","0","B","0","0",1098464
"48","M","18-25","7","A","0","0",2219577
"5471","M","46-50","14","C","3","1",434293
"5857","F","26-35","17","C","4+","1",1075149
"1761","M","36-45","20","A","2","0",2772227
"5432","M","18-25","11","C","3","1",707448
"3781","M","18-25","4","A","1","1",1474109
"3560","F","18-25","0","C","0","1",1194094
"5327","F","26-35","1","C","3","1",260984
"999","M","26-35","17","B","1","0",1875250
"2163","F","0-17","10","C","2","0",181525
"4485","F","55+","13","C","1","1",157368
"1997","M","26-35","1","C","2","0",586239
"2224","F","36-45","14","C","2","0",532661
"2483","M","18-25","4","B","3","0",1363801
"4162","M","46-50","0","C","1","1",479417
"1590","M","36-45","17","C","1","0",215260
"1661","M","36-45","1","A","2","0",1362321
"1249","M","26-35","4","C","1","0",558706
"2855","M","55+","17","C","3","0",170835
"5035","M","55+","13","C","2","1",826555
"2012","F","55+","1","C","2","0",204337
"4199","M","46-50","1","C","1","1",256616
"3481","M","26-35","0","B","0","1",2480851
"1191","F","18-25","4","C","1","0",98148
"3454","M","26-35","12","A","0","1",2114695
"1922","M","36-45","16","B","2","0",212682
"1394","M","0-17","10","C","1","0",168925
"5177","M","26-35","17","A","3","1",4622308
"746","F","18-25","2","B","1","0",1621826
"4336","F","51-55","6","C","1","1",724751
"3626","M","26-35","4","C","0","1",679091
"3114","F","26-35","17","B","4+","0",2782495
"1209","M","18-25","4","C","1","0",148849
"207","M","18-25","20","B","0","0",182157
"1291","M","18-25","7","C","1","0",627130
"23","F","36-45","2","A","0","0",139409
"2984","M","26-35","20","A","4+","0",4647555
"5692","F","36-45","0","C","4+","1",1471059
"5574","M","26-35","20","A","4+","1",2963969
"3091","M","26-35","12","B","4+","0",319721
"1741","F","36-45","16","A","2","0",220354
"5375","M","26-35","4","C","3","1",913795
"4501","F","26-35","14","C","1","1",82105
"3038","M","18-25","4","B","4+","0",135844
"1400","M","0-17","10","C","1","0",511747
"1490","M","26-35","14","C","1","0",580216
"4233","F","36-45","2","C","1","1",156781
